titulo,autor,genero,año
El señor de los anillos,J.R.R. Tolkien,Fantasía,1954
Harry Potter y la piedra filosofal,J.K. Rowling,Fantasía,1997
Crónica de una muerte anunciada,Gabriel García Márquez,Novela,1981
La casa de los espíritus,Isabel Allende,Realismo mágico,1982
El amor en los tiempos del cólera,Gabriel García Márquez,Romance,1985
Ficciones,Jorge Luis Borges,Cuentos,1944
Pedro Páramo,Juan Rulfo,Novela,1955
Los detectives salvajes,Roberto Bolaño,Novela,1998
El túnel,Ernesto Sabato,Novela,1948
Cien años de soledad,Gabriel García Márquez,Realismo mágico,1967
La ciudad y los perros,Mario Vargas Llosa,Novela,1963
Rayuela,Julio Cortázar,Novela experimental,1963
El Aleph,Jorge Luis Borges,Cuentos,1949
Como agua para chocolate,Laura Esquivel,Romance,1989
La tregua,Mario Benedetti,Novela,1960
